title,link,authors,publication,citation_id
Divergent evolution and evolution by the birth-and-death process in the immunoglobulin VH gene family.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:hMod-77fHWUC,"T Ota, M Nei","Molecular biology and evolution 11 (3), 469-482, 1994",VxOmZDgAAAAJ:hMod-77fHWUC
Definition and estimation of fixation indices,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:RGFaLdJalmkC,M Nei,"Evolution 40 (3), 643-645, 1986",VxOmZDgAAAAJ:RGFaLdJalmkC
Evolution of human races at the gene level,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:70eg2SAEIzsC,M Nei,"Human genetics, part A: The unfolding genome, 167-181, 1982",VxOmZDgAAAAJ:70eg2SAEIzsC
Positive darwinian selection observed at the variable-region genes of immunoglobulins.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:NMxIlDl6LWMC,"T Tanaka, M Nei","Molecular biology and evolution 6 (5), 447-459, 1989",VxOmZDgAAAAJ:NMxIlDl6LWMC
The new mutation theory of phenotypic evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:_xSYboBqXhAC,M Nei,"Proceedings of the National Academy of Sciences 104 (30), 12235-12242, 2007",VxOmZDgAAAAJ:_xSYboBqXhAC
Origins and evolution of microRNA genes in plant species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:PoWvk5oyLR8C,"M Nozawa, S Miura, M Nei","Genome biology and evolution 4 (3), 230-239, 2012",VxOmZDgAAAAJ:PoWvk5oyLR8C
Relative efficiencies of the maximum parsimony and distance-matrix methods in obtaining the correct phylogenetic tree.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:J_g5lzvAfSwC,"J Sourdis, M Nei","Molecular biology and evolution 5 (3), 298-311, 1988",VxOmZDgAAAAJ:J_g5lzvAfSwC
Evolutionary dynamics of olfactory and other chemosensory receptor genes in vertebrates,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:dfsIfKJdRG4C,"Y Niimura, M Nei","Journal of human genetics 51 (6), 505-517, 2006",VxOmZDgAAAAJ:dfsIfKJdRG4C
Models of evolution of reproductive isolation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:2P1L_qKh6hAC,"M Nei, T Maruyama, CI Wu","Genetics 103 (3), 557-579, 1983",VxOmZDgAAAAJ:2P1L_qKh6hAC
Interior-branch and bootstrap tests of phylogenetic trees.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:GnPB-g6toBAC,"T Sitnikova, A Rzhetsky, M Nei","Molecular biology and evolution 12 (2), 319-333, 1995",VxOmZDgAAAAJ:GnPB-g6toBAC
"The number of nucleotides required to determine the branching order of three species, with special reference to the human-chimpanzee-gorilla divergence",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:RYcK_YlVTxYC,"N Saitou, M Nei","Journal of molecular evolution 24 (1), 189-204, 1986",VxOmZDgAAAAJ:RYcK_YlVTxYC
Estimation of genetic distances and phylogenetic trees from DNA analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:abG-DnoFyZgC,"M Nei, N Takezaki","Proc 5th World Cong Genet Appl Livstock Prod 21 (21), 405-412, 1983",VxOmZDgAAAAJ:abG-DnoFyZgC
Small-sample tests of episodic adaptive evolution: a case study of primate lysozymes.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:BqipwSGYUEgC,"J Zhang, S Kumar, M Nei","Molecular Biology and Evolution 14 (12), 1335-1338, 1997",VxOmZDgAAAAJ:BqipwSGYUEgC
Mathematical models of speciation and genetic distance,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:35N4QoGY0k4C,M Nei,"Population genetics and ecology. Academic Press, New York, 723-766, 1976",VxOmZDgAAAAJ:35N4QoGY0k4C
Gene duplication and nucleotide substitution in evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ZHo1McVdvXMC,M Nei,"Nature 221 (5175), 40-42, 1969",VxOmZDgAAAAJ:ZHo1McVdvXMC
Statistical studies on protein polymorphism in natural populations I. Distribution of single locus heterozygosity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ns9cj8rnVeAC,"PA Fuerst, R Chakraborty, M Nei","Genetics 86 (2), 455-483, 1977",VxOmZDgAAAAJ:ns9cj8rnVeAC
Genetic polymorphism and the role of mutation in evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:g5m5HwL7SMYC,M Nei,"Evolution of genes and proteins 71, 165-190, 1983",VxOmZDgAAAAJ:g5m5HwL7SMYC
Statistical studies on protein polymorphism in natural populations. III. Distribution of allele frequencies and the number of alleles per locus,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:HoB7MX3m0LUC,"R Chakraborty, PA Fuerst, M Nei","Genetics 94 (4), 1039-1063, 1980",VxOmZDgAAAAJ:HoB7MX3m0LUC
Mutation-driven evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:OTTXONDVkokC,M Nei,"OUP Oxford, 2013",VxOmZDgAAAAJ:OTTXONDVkokC
The optimization principle in phylogenetic analysis tends to give incorrect topologies when the number of nucleotides or amino acids used is small,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:zA6iFVUQeVQC,"M Nei, S Kumar, K Takahashi","Proceedings of the National Academy of Sciences 95 (21), 12390-12397, 1998",VxOmZDgAAAAJ:zA6iFVUQeVQC
Genetic variation in subdivided populations and conservation genetics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&pagesize=100&citation_for_view=VxOmZDgAAAAJ:D03iK_w7-QYC,"SL Varvio, R Chakraborty, M Nei","Heredity 57 (2), 189-198, 1986",VxOmZDgAAAAJ:D03iK_w7-QYC
Origin and evolution of influenza virus hemagglutinin genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:q3oQSFYPqjQC,"Y Suzuki, M Nei","Molecular biology and evolution 19 (4), 501-509, 2002",VxOmZDgAAAAJ:q3oQSFYPqjQC
Acceleration of genomic evolution caused by enhanced mutation rate in endocellular symbionts,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:u_35RYKgDlwC,"T Itoh, W Martin, M Nei","Proceedings of the National Academy of Sciences 99 (20), 12944-12948, 2002",VxOmZDgAAAAJ:u_35RYKgDlwC
Accumulation of mutations in sexual and asexual populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:SeFeTyx0c_EC,"P Pamilo, M Nei, WH Li","Genetics Research 49 (2), 135-146, 1987",VxOmZDgAAAAJ:SeFeTyx0c_EC
Lewontin-Krakauertest for neutral genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:cFHS6HbyZ2cC,"M Nei, T Maruyama","Genetics 80 (2), 395, 1975",VxOmZDgAAAAJ:cFHS6HbyZ2cC
Tests of applicability of several substitution models for DNA sequence data.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:4OULZ7Gr8RgC,"A Rzhetsky, M Nei","Molecular Biology and Evolution 12 (1), 131-151, 1995",VxOmZDgAAAAJ:4OULZ7Gr8RgC
Molecular evolutionary genetics New York,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:NtCmTCuxid4C,M Nei,"Columbia University Press, 1987",VxOmZDgAAAAJ:NtCmTCuxid4C
Population dynamics of sex-determining alleles in honey bees and self-incompatibility alleles in plants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:rO6llkc54NcC,"S Yokoyama, M Nei","Genetics 91 (3), 609-626, 1979",VxOmZDgAAAAJ:rO6llkc54NcC
"Effective population size, genetic diversity, and coalescence time in subdivided populations",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:EUQCXRtRnyEC,"M Nei, N Takahata","Journal of Molecular Evolution 37 (3), 240-244, 1993",VxOmZDgAAAAJ:EUQCXRtRnyEC
Reliabilities of identifying positive selection by the branch-site and the site-prediction methods,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:4fKUyHm3Qg0C,"M Nozawa, Y Suzuki, M Nei","Proceedings of the National Academy of Sciences 106 (16), 6700-6705, 2009",VxOmZDgAAAAJ:4fKUyHm3Qg0C
Purifying selection and birth-and-death evolution in the ubiquitin gene family,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:a0OBvERweLwC,"M Nei, IB Rogozin, H Piontkivska","Proceedings of the National Academy of Sciences 97 (20), 10866-10871, 2000",VxOmZDgAAAAJ:a0OBvERweLwC
Genetic distance and molecular phylogeny,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:XiSMed-E-HIC,M Nei,"Population genetics and fishery management 193, 223, 1987",VxOmZDgAAAAJ:XiSMed-E-HIC
"Gene differences between Caucasian, Negro, and Japanese populations",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:b0M2c_1WBrUC,"M Nei, AK Roychoudhury","Science 177 (4047), 434-436, 1972",VxOmZDgAAAAJ:b0M2c_1WBrUC
Genomic drift and copy number variation of sensory receptor genes in humans,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:sSrBHYA8nusC,"M Nozawa, Y Kawahara, M Nei","Proceedings of the National Academy of Sciences 104 (51), 20421-20426, 2007",VxOmZDgAAAAJ:sSrBHYA8nusC
Antiquity and evolution of the MADS-box gene family controlling flower development in plants,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:WbkHhVStYXYC,"J Nam, CW DePamphilis, H Ma, M Nei","Molecular biology and evolution 20 (9), 1435-1447, 2003",VxOmZDgAAAAJ:WbkHhVStYXYC
The root of the phylogenetic tree of human populations.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:pyW8ca7W8N0C,"M Nei, N Takezaki","Molecular Biology and Evolution 13 (1), 170-177, 1996",VxOmZDgAAAAJ:pyW8ca7W8N0C
Evolution of Antennapedia-class homeobox genes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:pqnbT2bcN3wC,"J Zhang, M Nei","Genetics 142 (1), 295-303, 1996",VxOmZDgAAAAJ:pqnbT2bcN3wC
POPTREEW: web version of POPTREE for constructing population trees from allele frequency data and computing some other quantities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:VN7nJs4JPk0C,"N Takezaki, M Nei, K Tamura","Molecular Biology and Evolution 31 (6), 1622-1624, 2014",VxOmZDgAAAAJ:VN7nJs4JPk0C
Polymorphism and evolution of the major histocompatibility complex loci in mammals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:yD5IFk8b50cC,"M Nei, AL Hughes","Evolution at the molecular level, 222-247, 1991",VxOmZDgAAAAJ:yD5IFk8b50cC
Genetic variability maintained by mutation and overdominant selection in finite populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:bFI3QPDXJZMC,"T Maruyama, M Nei","Genetics 98 (2), 441-459, 1981",VxOmZDgAAAAJ:bFI3QPDXJZMC
Infinite allele model with varying mutation rate,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:nb7KW1ujOQ8C,"M NEi, R Chakraborty, PA Fuerst","Proceedings of the National Academy of Sciences 73 (11), 4164-4168, 1976",VxOmZDgAAAAJ:nb7KW1ujOQ8C
Identity of genes by descent within and between populations under mutation and migration pressures,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:FiytvqdAVhgC,"M Nei, MW Feldman","Theoretical Population Biology 3 (4), 460-465, 1972",VxOmZDgAAAAJ:FiytvqdAVhgC
Maintenance of MHC polymorphism,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:1sJd4Hv_s6UC,"AL Hughes, M Nei","Nature 355 (6359), 402-403, 1992",VxOmZDgAAAAJ:1sJd4Hv_s6UC
Linkage modification and sex difference in recombination,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:p2g8aNsByqUC,M Nei,"Genetics 63 (3), 681, 1969",VxOmZDgAAAAJ:p2g8aNsByqUC
Variance and covariances of the numbers of synonymous and nonsynonymous substitutions per site.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:KxtntwgDAa4C,"T Ota, M Nei","Molecular biology and evolution 11 (4), 613-619, 1994",VxOmZDgAAAAJ:KxtntwgDAa4C
Empirical tests of the reliability of phylogenetic trees constructed with microsatellite DNA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:eq2jaN3J8jMC,"N Takezaki, M Nei","Genetics 178 (1), 385-392, 2008",VxOmZDgAAAAJ:eq2jaN3J8jMC
False-Positive Selection Identified by ML-Based Methods: Examples from the Sig1 Gene of the Diatom Thalassiosira weissflogii and the tax Gene of a Human T …,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:f2IySw72cVMC,"Y Suzuki, M Nei","Molecular Biology and Evolution 21 (5), 914-921, 2004",VxOmZDgAAAAJ:f2IySw72cVMC
Comparative evolutionary analysis of olfactory receptor gene clusters between humans and mice,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:eMMeJKvmdy0C,"Y Niimura, M Nei","Gene 346, 13-21, 2005",VxOmZDgAAAAJ:eMMeJKvmdy0C
Balanced polymorphism and evolution by the birth-and-death process in the MHC loci,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:NhqRSupF_l8C,M NEI,"11^< th> Histocompatibility workshop and conference, 1992, 1992",VxOmZDgAAAAJ:NhqRSupF_l8C
Purifying selection and birth-and-death evolution in the histone H4 gene family,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:K3LRdlH-MEoC,"H Piontkivska, AP Rooney, M Nei","Molecular biology and evolution 19 (5), 689-697, 2002",VxOmZDgAAAAJ:K3LRdlH-MEoC
Evolutionary dynamics of olfactory receptor genes in Drosophila species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:kRWSkSYxWN8C,"M Nozawa, M Nei","Proceedings of the National Academy of Sciences 104 (17), 7122-7127, 2007",VxOmZDgAAAAJ:kRWSkSYxWN8C
Drift variances of FSTand GST statistics obtained from a finite number of isolated populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:Tiz5es2fbqcC,"M Nei, A Chakravarti","Theoretical population biology 11 (3), 307-325, 1977",VxOmZDgAAAAJ:Tiz5es2fbqcC
Natural selection at the class II major histocompatibility complex loci of mammals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:tOudhMTPpwUC,"AL Hughes, MK Hughes, CY Howell, M Nei","Infection, Polymorphism and Evolution, 89-97, 1997",VxOmZDgAAAAJ:tOudhMTPpwUC
Evolutionary relationships of class II major-histocompatibility-complex genes in mammals.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:OU6Ihb5iCvQC,"AL Hughes, M Nei","Molecular Biology and Evolution 7 (6), 491-514, 1990",VxOmZDgAAAAJ:OU6Ihb5iCvQC
Genetic structure of human populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:08ZZubdj9fEC,"M Nei, Y Imaizumi","Heredity 21, 183-190, 1966",VxOmZDgAAAAJ:08ZZubdj9fEC
Origins and evolution of microRNA genes in Drosophila species,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:ipzZ9siozwsC,"M Nozawa, S Miura, M Nei","Genome biology and evolution 2, 180-189, 2010",VxOmZDgAAAAJ:ipzZ9siozwsC
Simulation study of the reliability and robustness of the statistical methods for detecting positive selection at single amino acid sites,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:CHSYGLWDkRkC,"Y Suzuki, M Nei","Molecular biology and evolution 19 (11), 1865-1869, 2002",VxOmZDgAAAAJ:CHSYGLWDkRkC
Genetic differentiation of quantitative characters between populations or species: I. Mutation and random genetic drift,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:5ugPr518TE4C,"R Chakraborty, M Nei","Genetics Research 39 (3), 303-314, 1982",VxOmZDgAAAAJ:5ugPr518TE4C
Stable linkage disequilibrium without epistasis in subdivided populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:uWQEDVKXjbEC,"WH Li, M Nei","Theoretical population biology 6 (2), 173-183, 1974",VxOmZDgAAAAJ:uWQEDVKXjbEC
Probability of fixation of nonfunctional genes at duplicate loci,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:mvPsJ3kp5DgC,"M Nei, AK Roychoudhury","The American Naturalist 107 (955), 362-372, 1973",VxOmZDgAAAAJ:mvPsJ3kp5DgC
The frequency distribution of lethal chromosomes in finite populations.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:UxriW0iASnsC,M Nei,"Proceedings of the National Academy of Sciences of the United States of …, 1968",VxOmZDgAAAAJ:UxriW0iASnsC
The origins and early evolution of DNA mismatch repair genes—multiple horizontal gene transfers and co-evolution,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:kzcrU_BdoSEC,"Z Lin, M Nei, H Ma","Nucleic acids research 35 (22), 7591-7603, 2007",VxOmZDgAAAAJ:kzcrU_BdoSEC
Variation and covariation of gene frequencies in subdivided populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:geHnlv5EZngC,M Nei,"Evolution, 256-258, 1965",VxOmZDgAAAAJ:geHnlv5EZngC
Heterogeneous but conserved natural killer receptor gene complexes in four major orders of mammals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:JQOojiI6XY0C,"L Hao, J Klein, M Nei","Proceedings of the National Academy of Sciences 103 (9), 3192-3197, 2006",VxOmZDgAAAAJ:JQOojiI6XY0C
Genetic distance and electrophoretic identity of proteins between taxa,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:tS2w5q8j5-wC,"M Nei, R Chakraborty","Journal of Molecular Evolution 2 (4), 323-328, 1973",VxOmZDgAAAAJ:tS2w5q8j5-wC
Reliabilities of parsimony-based and likelihood-based methods for detecting positive selection at single amino acid sites,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:u9iWguZQMMsC,"Y Suzuki, M Nei","Molecular biology and evolution 18 (12), 2179-2185, 2001",VxOmZDgAAAAJ:u9iWguZQMMsC
Locus specificity of polymorphic alleles and evolution by a birth-and-death process in mammalian MHC genes.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:8AbLer7MMksC,"X Gu, M Nei","Molecular biology and evolution 16 (2), 147-156, 1999",VxOmZDgAAAAJ:8AbLer7MMksC
Mean and variance of FST in a finite number of incompletely isolated populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:l7t_Zn2s7bgC,"M Nei, A Chakravarti, Y Tateno","Theoretical Population Biology 11 (3), 291-306, 1977",VxOmZDgAAAAJ:l7t_Zn2s7bgC
Molecular evolution of the nontandemly repeated genes of the histone 3 multigene family,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:BrmTIyaxlBUC,"AP Rooney, H Piontkivska, M Nei","Molecular biology and evolution 19 (1), 68-75, 2002",VxOmZDgAAAAJ:BrmTIyaxlBUC
Statistical studies on protein polymorphism in natural populations II. Gene differentiation between populations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:5Ul4iDaHHb8C,"R Chakraborty, PA Fuerst, M Nei","Genetics 88 (2), 367-390, 1978",VxOmZDgAAAAJ:5Ul4iDaHHb8C
Origins and divergence times of mammalian class II MHC gene clusters,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:wbdj-CoPYUoC,"K Takahashi, AP Rooney, M Nei","Journal of Heredity 91 (3), 198-204, 2000",VxOmZDgAAAAJ:wbdj-CoPYUoC
Accumulation of nonfunctional genes on sheltered chromosomes,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:eflP2zaiRacC,M Nei,"The American Naturalist 104 (938), 311-322, 1970",VxOmZDgAAAAJ:eflP2zaiRacC
Evolutionary change of the numbers of homeobox genes in bilateral animals,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:_B80troHkn4C,"J Nam, M Nei","Molecular biology and evolution 22 (12), 2386-2394, 2005",VxOmZDgAAAAJ:_B80troHkn4C
FST and GST statistics in the finite island model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:J-pR_7NvFogC,"N Takahata, M Nei","Genetics 107 (3), 501, 1984",VxOmZDgAAAAJ:J-pR_7NvFogC
Genetic structure of human populations I. Local differentiation of blood group gene frequencies in Japan,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:B3FOqHPlNUQC,"M Nei, Y Imaizumi","Heredity 21 (1), 9-35, 1966",VxOmZDgAAAAJ:B3FOqHPlNUQC
Polymorphism and evolution of influenza A virus genes.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:eJXPG6dFmWUC,"N Saitou, M Nei","Molecular biology and evolution 3 (1), 57-74, 1986",VxOmZDgAAAAJ:eJXPG6dFmWUC
Drift variances of heterozygosity and genetic distance in transient states,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:fQNAKQ3IYiAC,"WH Li, M Nei","Genetics Research 25 (3), 229-247, 1975",VxOmZDgAAAAJ:fQNAKQ3IYiAC
Human evolution at the molecular level,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=VxOmZDgAAAAJ&cstart=100&pagesize=100&citation_for_view=VxOmZDgAAAAJ:bnK-pcrLprsC,M Nei,"Population genetics and molecular evolution 1 (N), 41-64, 1985",VxOmZDgAAAAJ:bnK-pcrLprsC
